INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
University of Phoenix-Michigan,NULL,19148,NULL,NULL,NULL
University of Phoenix-Missouri,NULL,19241,NULL,NULL,NULL
University of Phoenix-Nevada,NULL,18203,NULL,NULL,NULL
University of Phoenix-North Carolina,NULL,17980,NULL,NULL,NULL
University of Phoenix-Oklahoma,NULL,17093,NULL,NULL,NULL
University of Phoenix-Tennessee,NULL,17651,NULL,NULL,NULL
University of Phoenix-Texas,NULL,19049,NULL,NULL,NULL
University of Phoenix-Virginia,NULL,17597,NULL,NULL,NULL
University of Phoenix-Pennsylvania,NULL,17655,NULL,NULL,NULL
Merrillville Beauty College-Flawless Barber Academy,NULL,8338,NULL,NULL,NULL
Tint School of Makeup & Cosmetology-Seattle,NULL,13215,NULL,NULL,NULL
Centro de Estudios Multidisciplinarios-Mayaguez,NULL,6574,NULL,NULL,NULL
Heritage College-Cleveland,NULL,NULL,NULL,NULL,NULL
Aveda Institute-Phoenix,NULL,14755,NULL,NULL,NULL
University of North Texas at Dallas,3991,NULL,NULL,NULL,NULL
BridgeValley Community & Technical College,NULL,NULL,NULL,NULL,NULL
Northwest College-Medford,NULL,11086,NULL,NULL,NULL
Virginia College-Fort Pierce,NULL,NULL,NULL,NULL,NULL
Houston Training Schools-Gessner,NULL,5039,NULL,NULL,NULL
Empire Beauty School-Buffalo,NULL,16083,NULL,NULL,NULL
Paul Mitchell the School-Toledo,NULL,10382,NULL,NULL,NULL
MJ's Barber Academy,NULL,16083,NULL,NULL,NULL
Trine University-Arizona Regional Campus,NULL,NULL,NULL,NULL,NULL
Regency Beauty Institute-Gaithersburg,NULL,15922,NULL,NULL,NULL
Georgia Military College,8516,NULL,NULL,NULL,NULL
New Horizons Medical Institute-Winder,NULL,NULL,NULL,NULL,NULL
SAE Institute of Technology-Chicago,NULL,16151,NULL,NULL,NULL
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,NULL,NULL,NULL,NULL,NULL
Fayette Beauty Academy-Ritz Beauty Academy,NULL,8784,NULL,NULL,NULL
Fayette Beauty Academy-Ritz Beauty Academy,NULL,9710,NULL,NULL,NULL
Fountain of Youth Academy of Cosmetology,NULL,NULL,NULL,NULL,NULL
Cosmopolitan Beauty and Tech School,NULL,1897,NULL,NULL,NULL
MCI Institute of Technology-Boca Raton,NULL,9657,NULL,NULL,NULL
California College San Diego,NULL,23742,NULL,NULL,NULL
West Coast University-Miami,NULL,NULL,NULL,NULL,NULL
National American University-Houston,NULL,18754,NULL,NULL,NULL
National American University-Harold D. Buckingham Graduate School,NULL,NULL,NULL,NULL,NULL
All Beauty College,NULL,9580,NULL,NULL,NULL
Aparicio-Levy Technical College,NULL,NULL,NULL,NULL,NULL
Fred D. Learey Technical College,NULL,NULL,NULL,NULL,NULL
Hollywood Institute of Beauty Careers-West Palm Beach,NULL,17930,NULL,NULL,NULL
Hollywood Institute of Beauty Careers-Casselberry,NULL,19279,NULL,NULL,NULL
Coachella Valley Beauty College-Beaumont,NULL,7690,NULL,NULL,NULL
Dewey University-Mayaguez,NULL,8102,NULL,NULL,NULL
Coastal Pines Technical College,3770,NULL,NULL,NULL,NULL
Troy University-Phenix City Campus,NULL,NULL,35600,33600,29300
Troy University-Montgomery Campus,NULL,NULL,35600,33600,29300
Troy University-Dothan Campus,NULL,NULL,35600,33600,29300
Troy University-eTROY,NULL,NULL,35600,33600,29300
Troy University-Global Campus,NULL,NULL,35600,33600,29300
Arkansas College of Barbering and Hair Design,NULL,NULL,17400,14400,PrivacySuppressed
Arkansas College of Barbering & Hair Design -  SWLR Campus,NULL,NULL,NULL,NULL,NULL
Harding School of Theology,NULL,NULL,38000,36000,31300
Career Academy of Hair Design-Siloam Springs,NULL,NULL,PrivacySuppressed,16500,PrivacySuppressed
Career Academy of Hair Design-Rogers,NULL,NULL,PrivacySuppressed,16500,PrivacySuppressed
Career Academy of Hair Design-Fayetteville,NULL,NULL,NULL,NULL,NULL
Academy of Salon and Spa -,NULL,NULL,NULL,NULL,NULL
Alliant International University-Fresno,NULL,NULL,56000,51500,52900
Alliant International University-Los Angeles,NULL,NULL,56000,51500,52900
Alliant International University-San Francisco,NULL,NULL,56000,51500,52900
Alliant International University-Irvine,NULL,NULL,56000,51500,52900
Alliant International University-Sacramento,NULL,NULL,56000,51500,52900
Casa Loma College-Anaheim Campus,NULL,NULL,46500,46700,41300
Marinello School of Beauty-Bell,NULL,NULL,12500,14900,15200
Marinello School of Beauty-City of Industry,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Paramount,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Huntington Beach,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Layton,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Ogden,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Murrieta,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Napa,NULL,NULL,12500,14900,15200
Marinello School of Beauty-Seaside,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marinello School of Beauty-San Mateo,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marinello School of Beauty-Hayward,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marinello School of Beauty-Castro Valley,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marinello School of Beauty-Palmdale,NULL,NULL,14000,13900,17600
Marinello School of Beauty-San Rafael,NULL,NULL,13800,13400,14000
San Jose Campus,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Franciscan School of Theology,NULL,NULL,NULL,NULL,NULL
Golden Gate University-Los Angeles,NULL,NULL,65600,64100,64200
Golden Gate University-Seattle,NULL,NULL,65600,64100,64200
Golden Gate University-Silicon Valley,NULL,NULL,65600,64100,64200
Humphreys College-Modesto,NULL,NULL,29500,26200,25200
International School of Cosmetology,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
ATEP at IVC,NULL,NULL,34200,30300,23400
Marinello School of Beauty-Whittier,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Reseda,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Ontario,NULL,NULL,14100,15400,15100
Marinello School of Beauty-San Diego,NULL,NULL,14100,15400,15100
Marinello School of Beauty-San Bernardino,NULL,NULL,14100,15400,15100
Marinello School of Beauty-West Covina,NULL,NULL,14100,15400,15100
Marinello School of Beauty-West Los Angeles,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Inglewood,NULL,NULL,14100,15400,15100
Marinello School of Beauty-El Cajon,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Victorville,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Anaheim,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Simi Valley,NULL,NULL,14100,15400,15100
Marinello School of Beauty-Lomita,NULL,NULL,14100,15400,15100
Marymount University - Waterfront Campus,NULL,NULL,NULL,NULL,NULL
Marinello School of Beauty-Chico,NULL,NULL,28900,19000,22700
Marinello School of Beauty-Redding,NULL,NULL,28900,19000,22700
Marinello School of Beauty-Fresno,NULL,NULL,28900,19000,22700
Mount Saint Mary's University - Doheny Campus,NULL,NULL,50500,49100,47300
San Diego State University-Imperial Valley Campus,NULL,NULL,NULL,NULL,NULL
San Joaquin General Hospital School of Radiation Technology,NULL,NULL,29300,25700,20700
San Joaquin Valley College - Hanford,NULL,NULL,26300,25100,23600
San Joaquin Valley College-Online,NULL,NULL,26300,25100,23600
San Joaquin Valley College-Bakersfield,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Fresno,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Fresno Aviation,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Ontario,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Modesto,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Rancho Cordova,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Hesperia,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Temecula,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-Lancaster,NULL,NULL,NULL,NULL,NULL
San Joaquin Valley College-San Diego,NULL,NULL,NULL,NULL,NULL
Jesuit School of Theology of Santa Clara University,NULL,NULL,67600,59800,50900
Pinnacle College-Sacramento,NULL,NULL,31000,PrivacySuppressed,20300
Marinello School of Beauty-Bakersfield,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marinello School of Beauty-Visalia,NULL,NULL,NULL,NULL,NULL
UEI College,NULL,NULL,24500,22700,20200
UEI College,NULL,NULL,24500,22700,20200
UEI College,NULL,NULL,24500,22700,20200
UEI College,NULL,NULL,24500,22700,20200
UEI College,NULL,NULL,24500,22700,20200
United Education Institute,NULL,NULL,NULL,NULL,NULL
UEI,NULL,NULL,NULL,NULL,NULL
UEI College,NULL,NULL,NULL,NULL,NULL
UEI College,NULL,NULL,NULL,NULL,NULL
Colorado Technical University,NULL,NULL,50100,38200,28800
Lincoln College of New England-Hartford,NULL,NULL,NULL,NULL,NULL
Marinello School of Beauty-Hamden,NULL,NULL,18500,19700,19200
Marinello School of Beauty-Fairfield,NULL,NULL,18500,19700,19200
Marinello School of Beauty-Willimantic,NULL,NULL,18500,19700,19200
Porter and Chester Institute of Rocky Hill,NULL,NULL,36500,34900,30800
Porter and Chester Institute of Enfield,NULL,NULL,36500,34900,30800
Porter and Chester Institute of Watertown,NULL,NULL,36500,34900,30800
Porter and Chester Institute of Chicopee,NULL,NULL,36500,34900,30800
Porter and Chester Institute of Worcester,NULL,NULL,36500,34900,30800
Porter and Chester Institute of Canton,NULL,NULL,36500,34900,30800
Porter and Chester Institute of Woburn,NULL,NULL,36500,34900,30800
Strayer University-Takoma Park Campus,NULL,NULL,49200,43300,36500
Barry University Law School,NULL,NULL,44100,40900,38800
University of Southernmost Florida-Coral Gables Campus,NULL,NULL,NULL,NULL,NULL
Keiser University-Melbourne,NULL,NULL,29700,28100,27100
Keiser University-Tallahassee,NULL,NULL,29700,28100,27100
Keiser University-Daytona,NULL,NULL,29700,28100,27100
Keiser University-Lakeland,NULL,NULL,29700,28100,27100
Keiser University- Miami,NULL,NULL,29700,28100,27100
Keiser University-Orlando,NULL,NULL,29700,28100,27100
Keiser University-Sarasota,NULL,NULL,29700,28100,27100
Keiser University-Jacksonville,NULL,NULL,29700,28100,27100
Keiser University-Tampa,NULL,NULL,29700,28100,27100
Keiser University-Pembroke Pines,NULL,NULL,29700,28100,27100
Keiser University-Port St Lucie,NULL,NULL,29700,28100,27100
Keiser University-West Palm Beach,NULL,NULL,29700,28100,27100
Keiser University-Ft Myers,NULL,NULL,29700,28100,27100
Manhattan Hairstyling Academy - North,NULL,NULL,16500,15800,14200
Rasmussen College-New Port Richey,NULL,NULL,30900,29000,27300
Rasmussen College-Fort Myers,NULL,NULL,30900,29000,27300
Rasmussen College-Tampa/Brandon,NULL,NULL,30900,29000,27300
Rasmussen College-Land O' Lakes,NULL,NULL,NULL,NULL,NULL
Portfolio Center - Waltham,NULL,NULL,54200,51200,58400
Portfolio Center - DC Branch,NULL,NULL,NULL,NULL,NULL
Moody Theological Seminary and Graduate School--Michigan,NULL,NULL,NULL,NULL,NULL
Moody Bible Institute-Spokane,NULL,NULL,NULL,NULL,NULL
Saint Anthony College of Nursing - Highland Community College Campus,NULL,NULL,57600,57900,53100
PJ's College of Cosmetology- Brownsburg,NULL,NULL,14600,12500,13800
PJ's College of Cosmetology-Crestwood,NULL,NULL,14600,12500,13800
PJ's College of Cosmetology- Jeffersonville,NULL,NULL,14600,12500,13800
Ivy Tech Community College-Northcentral,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Columbus,NULL,NULL,29400,27200,25400
Ivy Tech Community College-East Central,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Kokomo,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Lafayette,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Northeast,NULL,NULL,29400,27200,25400
Ivy Tech Community College-South Central,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Southwest,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Wabash Valley,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Richmond,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Northwest,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Southeast,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Bloomington,NULL,NULL,29400,27200,25400
Ivy Tech Community College-Central Indiana,NULL,NULL,29400,27200,25400
Harrison College-Anderson,NULL,NULL,23900,21900,21400
Harrison College-Columbus,NULL,NULL,23900,21900,21400
Harrison College-Terre Haute,NULL,NULL,23900,21900,21400
Harrison College-Lafayette,NULL,NULL,23900,21900,21400
Harrison College-Indianapolis East,NULL,NULL,23900,21900,21400
Harrison College-Evansville,NULL,NULL,23900,21900,21400
Harrison College-Fort Wayne,NULL,NULL,23900,21900,21400
Harrison College-Northwest,NULL,NULL,23900,21900,21400
Harrison College-Elkhart,NULL,NULL,23900,21900,21400
Marian University,NULL,NULL,42300,38900,38900
Graceland University - Independence,NULL,NULL,36300,31700,28900
Baker University School of Nursing,NULL,NULL,48800,45800,41800
Baker University School of Professional and Graduate Studies and Graduate School of Education,NULL,NULL,48800,45800,41800
CBTS - Wisconsin,NULL,NULL,NULL,NULL,NULL
Coffeyville Technical Campus,NULL,NULL,29500,25400,22300
Columbus Technical Campus,NULL,NULL,29500,25400,22300
Marinello School of Beauty-Lawrence,NULL,NULL,19200,18200,15800
PJ's College of Cosmetology- Greenfield,NULL,NULL,16400,14200,14800
PJ's College of Cosmetology- Muncie,NULL,NULL,16400,14200,14800
PJ's College of Cosmetology- Indianapolis,NULL,NULL,16400,14200,14800
PJ's College of Cosmetology- Plainfield,NULL,NULL,16400,14200,14800
PJ's College of Cosmetology- Louisville,NULL,NULL,16400,14200,14800
Empire Beauty School-Caribou,NULL,NULL,16900,15300,16000
Empire Beauty School-Bangor,NULL,NULL,16900,15300,16000
Empire Beauty School-Waterville,NULL,NULL,16900,15300,16000
International Beauty School,NULL,NULL,16300,13000,8300
Wentworth Institute of Technology,NULL,NULL,56700,54400,47100
Wentworth Institute of Technology,NULL,NULL,56700,54400,47100
Wentworth Institute of Technology,NULL,NULL,56700,54400,47100
Cleary University,NULL,NULL,46900,49100,43500
Davenport University-Warren Location,NULL,NULL,29000,27700,25900
Davenport University-Kalamazoo Location,NULL,NULL,29000,27700,25900
Davenport University-Lansing Location,NULL,NULL,29000,27700,25900
Davenport University-Midland Location,NULL,NULL,29000,27700,25900
Davenport University-Holland Location,NULL,NULL,29000,27700,25900
Davenport University-Flint Location,NULL,NULL,29000,27700,25900
Davenport University-Traverse City Location,NULL,NULL,29000,27700,25900
Davenport University-Saginaw Location,NULL,NULL,29000,27700,25900
Davenport University-Livonia Location,NULL,NULL,29000,27700,25900
Davenport University-Battle Creek Location,NULL,NULL,29000,27700,25900
Davenport University-Grand Rapids Downtown,NULL,NULL,NULL,NULL,NULL
Davenport University - Treasury Site Dimondale,NULL,NULL,NULL,NULL,NULL
Anoka-Ramsey Community College-Cambridge Campus,NULL,NULL,36800,33900,30600
Central Lakes College-Staples Campus,NULL,NULL,31400,29400,27000
M State - Detroit Lakes Campus,NULL,NULL,33100,31700,29300
M State - Moorhead Campus,NULL,NULL,33100,31700,29300
M State - Wadena Campus,NULL,NULL,33100,31700,29300
South Central  College-Faribault,NULL,NULL,33400,32000,29600
Mesabi Range College,NULL,NULL,27000,27100,26900
Northland Community and Technical College - East Grand Forks,NULL,NULL,35700,34700,30300
Rasmussen College-Bloomington,NULL,NULL,30900,29000,27300
Rasmussen College-Eagan,NULL,NULL,30900,29000,27300
Rasmussen College-Mankato,NULL,NULL,30900,29000,27300
Rasmussen College-Brooklyn Park,NULL,NULL,30900,29000,27300
Rasmussen College-Lake Elmo/Woodbury,NULL,NULL,30900,29000,27300
Rasmussen College-Blaine,NULL,NULL,30900,29000,27300
Ridgewater College,NULL,NULL,33200,29700,28500
Minnesota State College-SE Technical-Red Wing,NULL,NULL,31400,31900,29200
Copiah-Lincoln Community College Simpson County Center,NULL,NULL,25100,23600,22200
Copiah-Lincoln Community College-Natchez Campus,NULL,NULL,25100,23600,22200
Pearl River Community College-Forrest County Center,NULL,NULL,26500,24600,22600
Lindenwood University-Belleville,NULL,NULL,NULL,NULL,NULL
City College Montana State University Billings,NULL,NULL,33400,30100,29600
The University of Montana - Missoula College,NULL,NULL,34300,30800,26600
Marinello School of Beauty-Henderson,NULL,NULL,21200,17100,17800
New Hampshire Institute for Therapeutic Arts,NULL,NULL,PrivacySuppressed,23400,19900
American Institute,NULL,NULL,25700,23400,20200
Berkeley College - Westchester Campus,NULL,NULL,39000,35500,30500
Briarcliffe College_Patchogue,NULL,NULL,38200,32500,26000
Culinary Institute of America at Greystone,NULL,NULL,42200,37800,33800
Culinary Institute of America  San Antonio,NULL,NULL,42200,37800,33800
Jamestown Business College -,NULL,NULL,NULL,NULL,NULL
Pratt Manhattan-A Division of Pratt Institute,NULL,NULL,40900,35900,31800
Saint Josephs College-Long Island,NULL,NULL,52000,44600,35400
Saint Elizabeth College of Nursing,NULL,NULL,NULL,NULL,NULL
Gaston College,NULL,NULL,25000,23700,20500
Rasmussen College-Bismarck,NULL,NULL,30900,29000,27300
Mount Carmel College of Nursing - Fairfield,NULL,NULL,NULL,NULL,NULL
Los Angeles Center,NULL,NULL,39600,40800,42300
Florida Center,NULL,NULL,39600,40800,42300
Sacramento Center,NULL,NULL,39600,40800,42300
Montpelier Center - Closed July 2013,NULL,NULL,39600,40800,42300
New England Center,NULL,NULL,39600,40800,42300
Corban University Bellevue Washington Campus,NULL,NULL,35100,31700,28500
Western Seminary-San Jose,NULL,NULL,NULL,NULL,NULL
Western Seminary-Sacramento,NULL,NULL,NULL,NULL,NULL
Toni&Guy Hairdressing Academy,NULL,NULL,17900,14700,14600
Bucks County Community College-Upper Bucks Campus,NULL,NULL,35600,34000,29500
Bucks County Community College-Lower Bucks Campus,NULL,NULL,35600,34000,29500
Harrisburg Area Community College-Lancaster,NULL,NULL,33100,31000,26800
Harrisburg Area Community College-Gettysburg,NULL,NULL,33100,31000,26800
Harrisburg Area Community College-Lebanon,NULL,NULL,33100,31000,26800
Harrisburg Area Community College-York,NULL,NULL,33100,31000,26800
New Castle School of Trades,NULL,NULL,32200,31500,28200
Northampton County Area Community College-Monroe,NULL,NULL,32100,28100,25100
Villanova University - Summer Music Studies Program,NULL,NULL,29800,25900,22900
South Hills School of Business and Technology-Altoona,NULL,NULL,29000,27600,23600
Galveston College - Charlie Thomas Family Applied Technology Center,NULL,NULL,32700,27900,25000
San Jacinto College-North Campus,NULL,NULL,36600,32200,28200
San Jacinto College-South Campus,NULL,NULL,36600,32200,28200
Southwest School of Business and Technical Careers-South Texas,NULL,NULL,19800,19300,16500
Southwest School of Business and Technical Careers-Corpus Christi,NULL,NULL,19800,19300,16500
Texas A&M University-San Antonio,NULL,NULL,38800,37000,33300
Texas A & M University Health Science Center,NULL,NULL,NULL,NULL,NULL
Snow College-Richfield Campus,NULL,NULL,27900,27600,22200
Strayer University-Alexandria Campus,NULL,NULL,49200,43300,36500
Strayer University-Woodbridge Campus,NULL,NULL,49200,43300,36500
Strayer University-Manassas Campus,NULL,NULL,49200,43300,36500
Strayer University-Loudoun Campus,NULL,NULL,49200,43300,36500
Strayer University-Fredericksburg Campus,NULL,NULL,49200,43300,36500
Strayer University-Henrico Campus,NULL,NULL,49200,43300,36500
